gene	Groups	New annotation -initial data	category	biological_process	cellular_component	molecular_function	rankEpith	rankFibers	rankwhole	tissue	ranktissue
Hnrnpl	mRNA pathway	mRNA transport	mRNA transport, splicing	via spliceosome  (pubmed id: 22523384)	nucleus  (pubmed id: 15798186), pronucleus  (pubmed id: 7768196)	protein binding  (pubmed id: 8871564)	248	883	426	both	426
Eif3g	Translation	initiation of translation	translational regulation	translational initiation  (pubmed id: 17581632)	eukaryotic translation initiation factor 3 complex  (pubmed id: 21873635; 17581632)	protein binding  (pubmed id: 12176995), translation initiation factor activity  (pubmed id: 21873635; 17581632)	633	321	438	both	438
Pa2g4	rRNA pathway	ribosome assembly, rRNA processing	rRNA pathway	DNA-templated  (pubmed id: 15073182)	cytoplasm  (pubmed id: 21873635), nucleolus  (pubmed id: 21873635), nucleus  (pubmed id: 15073182), ribonucleoprotein complex  (pubmed id: 18809582)	DNA binding  (pubmed id: 15073182), DNA-binding transcription factor activity  (pubmed id: 15073182), nucleic acid binding  (pubmed id: 21873635)	482	420	452	both	452
Lsm5	Splicing	splicing	splicing	response to bacterium  (pubmed id: 23012479)	Lsm1-7-Pat1 complex  (pubmed id: 21873635), U4/U6 x U5 tri-snRNP complex  (pubmed id: 21873635), U6 snRNP  (pubmed id: 21873635)	protein binding  (pubmed id: 11591653), RNA binding  (pubmed id: 21873635)	305	719	457	both	457
Hnrnpf	mRNA pathway, splicing	splicing, polyadenylation, mRNA transport	splicing, mRNA transport	NA	NA	NA	281	907	462	both	462
Caprin1	RNA-binding	RNA-binding (Cell 2012)	Stress response	positive regulation of dendrite morphogenesis  (pubmed id: 20516077), positive regulation of dendritic spine morphogenesis  (pubmed id: 20516077)	cytoplasmic stress granule  (pubmed id: 21933836), synapse  (pubmed id: 16452087; 16452087)	NA	576	257	471	both	471
Fxr1	mRNA pathway	mRNA binding	translational regulation, mRNA stability	muscle organ development  (pubmed id: 15128702), negative regulation of translation  (pubmed id: 21873635; 15548538), positive regulation of translation  (pubmed id: 21873635), regulation of mRNA stability  (pubmed id: 21873635)	axon  (pubmed id: 21873635; 22022532), costamere  (pubmed id: 15128702), cytoplasm  (pubmed id: 21873635; 11178106), cytoplasmic ribonucleoprotein granule  (pubmed id: 21873635), dendrite  (pubmed id: 22022532), dendritic spine  (pubmed id: 21873635; 22022532), glutamatergic synapse  (pubmed id: 27770568), neuronal cell body  (pubmed id: 21873635), nucleus  (pubmed id: 21873635; 11178106), perinuclear region of cytoplasm  (pubmed id: 22022532), polysome  (pubmed id: 21873635; 11178106), postsynapse  (pubmed id: 27770568), postsynaptic density  (pubmed id: 21873635), ribonucleoprotein granule  (pubmed id: 21873635; 22022532)	G-quadruplex RNA binding  (pubmed id: 17170008; 17170008), mRNA 3'-UTR binding  (pubmed id: 21873635; 15548538), mRNA binding  (pubmed id: 21873635), protein binding  (pubmed id: 10567518), protein homodimerization activity  (pubmed id: 21873635), translation regulator activity  (pubmed id: 21873635)	878	376	478	both	478
Hnrnpdl	mRNA pathway	mRNA processing and transport	mRNA transport	mRNA metabolic process  (pubmed id: 10717477)	nucleoplasm  (pubmed id: 21873635), nucleus  (pubmed id: 21873635; 10717477), ribonucleoprotein complex  (pubmed id: 21873635)	DNA binding  (pubmed id: 10717477), poly(A) binding  (pubmed id: 21873635), poly(G) binding  (pubmed id: 21873635), RNA binding  (pubmed id: 21873635; 10717477), sequence-specific DNA binding  (pubmed id: 21873635), sequence-specific double-stranded DNA binding  (pubmed id: 21873635)	252	590	479	both	479
Sfpq	Splicing	splicing	splicing	cellular response to DNA damage stimulus  (pubmed id: 20813759), chromosome organization  (pubmed id: 20813759), dendritic transport of messenger ribonucleoprotein complex  (pubmed id: 15312650; 15312650), DNA-templated  (pubmed id: 22966205; 21680841), double-strand break repair via homologous recombination  (pubmed id: 20813759), histone H3 deacetylation  (pubmed id: 21680841), negative regulation of circadian rhythm  (pubmed id: 21680841), positive regulation of sister chromatid cohesion  (pubmed id: 20813759), regulation of cell cycle  (pubmed id: 20813759), regulation of circadian rhythm  (pubmed id: 22966205), via spliceosome  (pubmed id: 21873635)	nucleus  (pubmed id: 21873635), paraspeckles  (pubmed id: 21444682), RNA polymerase II transcription factor complex  (pubmed id: 19389484)	chromatin binding  (pubmed id: 19389484), E-box binding  (pubmed id: 22966205), protein binding  (pubmed id: 18495661), RNA polymerase II distal enhancer sequence-specific DNA binding  (pubmed id: 19389484), transcription regulatory region sequence-specific DNA binding  (pubmed id: 21873635; 21680841)	288	711	517	both	517
Eif3a	Translation	initiation of translation	translational regulation	formation of cytoplasmic translation initiation complex  (pubmed id: 21873635; 17581632), translation reinitiation  (pubmed id: 21873635)	eIF3e  (pubmed id: 21873635), eIF3m  (pubmed id: 21873635; 24003236), eukaryotic translation initiation factor 3 complex  (pubmed id: 17581632), multi-eIF complex  (pubmed id: 21873635), postsynaptic density  (pubmed id: 25211037; 25211037)	mRNA binding  (pubmed id: 21873635), protein binding  (pubmed id: 19114715), translation initiation factor activity  (pubmed id: 21873635; 17581632)	861	269	522	both	522
Park7	RNA-binding, enzyme	RNA-binding, peptidase	enzyme, Stress response	adult locomotory behavior  (pubmed id: 15721235), cellular response to glyoxal  (pubmed id: 22523093), cellular response to hydrogen peroxide  (pubmed id: 15784737), cellular response to oxidative stress  (pubmed id: 21068725), cellular response to reactive oxygen species  (pubmed id: 16624565), detoxification of copper ion  (pubmed id: 23792957), detoxification of mercury ion  (pubmed id: 23792957), dopamine uptake involved in synaptic transmission  (pubmed id: 15721235), dopaminergic  (pubmed id: 15799973), enzyme active site formation via L-cysteine sulfinic acid  (pubmed id: 17766438), glucose homeostasis  (pubmed id: 22611253), glycolate biosynthetic process  (pubmed id: 22523093), glyoxal metabolic process  (pubmed id: 22523093), glyoxal removal  (pubmed id: 21873635; 21873635), hydrogen peroxide metabolic process  (pubmed id: 17766438), insulin secretion  (pubmed id: 22611253), membrane depolarization  (pubmed id: 16624565), membrane hyperpolarization  (pubmed id: 16624565), mitochondrion organization  (pubmed id: 20186336), NADH to ubiquinone  (pubmed id: 19822128), negative regulation of apoptotic process  (pubmed id: 22523093), negative regulation of cell death  (pubmed id: 15784737), negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway  (pubmed id: 14652021), negative regulation of hydrogen peroxide-induced neuron death  (pubmed id: 24947010), negative regulation of hydrogen peroxide-induced neuron intrinsic apoptotic signaling pathway  (pubmed id: 14652021), negative regulation of oxidative stress-induced neuron death  (pubmed id: 24899725), negative regulation of protein catabolic process  (pubmed id: 24899725), negative regulation of protein ubiquitination  (pubmed id: 24899725), negative regulation of reactive oxygen species biosynthetic process  (pubmed id: 22611253), negative regulation of ubiquitin-protein transferase activity  (pubmed id: 24899725), positive regulation of acute inflammatory response to antigenic stimulus  (pubmed id: 26021615), positive regulation of gene expression  (pubmed id: 22492997), positive regulation of NAD(P)H oxidase activity  (pubmed id: 26021615), positive regulation of oxidative phosphorylation uncoupler activity  (pubmed id: 21068725), positive regulation of oxidative stress-induced intrinsic apoptotic signaling pathway  (pubmed id: 22555455), positive regulation of reactive oxygen species biosynthetic process  (pubmed id: 22555455), positive regulation of transcription by RNA polymerase II  (pubmed id: 17015834), protein stabilization  (pubmed id: 17015834), regulation of inflammatory response  (pubmed id: 19276172), response to hydrogen peroxide  (pubmed id: 15784737; 15784737)	cell body  (pubmed id: 24947010), cytosol  (pubmed id: 21873635; 15944198), endoplasmic reticulum  (pubmed id: 22555455), mitochondrial intermembrane space  (pubmed id: 15944198), mitochondrial matrix  (pubmed id: 15944198), mitochondrion  (pubmed id: 18614015; 15944198), neuron projection  (pubmed id: 24947010), nucleus  (pubmed id: 21873635; 22555455)	peroxiredoxin activity  (pubmed id: 17766438), protein binding  (pubmed id: 14752510), protein deglycase activity  (pubmed id: 21873635), RNA binding  (pubmed id: 11223268)	417	203	530	both	530
Eprs	tRNA pathway	tRNA synthetase, binds Syncrip protein	tRNA pathway, translational regulation	cellular response to insulin stimulus  (pubmed id: 28178239), cellular response to interferon-gamma  (pubmed id: 23071094), long-chain fatty acid import  (pubmed id: 28178239), negative regulation of translation  (pubmed id: 23071094), prolyl-tRNA aminoacylation  (pubmed id: 21873635; 12060739)	aminoacyl-tRNA synthetase multienzyme complex  (pubmed id: 21873635; 12060739), cytoplasm  (pubmed id: 21873635), GAIT complex  (pubmed id: 23071094; 23071094), plasma membrane  (pubmed id: 28178239)	proline-tRNA ligase activity  (pubmed id: 21873635; 12060739), protein binding  (pubmed id: 28178239)	795	508	539	both	539
Srsf5	Splicing	splicing	splicing	response to wounding  (pubmed id: 9857059), via spliceosome  (pubmed id: 21873635; 21873635)	nuclear speck  (pubmed id: 21873635; 18758164), nucleus  (pubmed id: 21873635)	protein binding  (pubmed id: 18758164), RNA binding  (pubmed id: 21873635), RS domain binding  (pubmed id: 15798186)	293	859	541	both	541
Eif4b	Translation	initiation of translation	translational regulation	cytoplasmic translation  (pubmed id: 21873635), eukaryotic translation initiation factor 4F complex assembly  (pubmed id: 21873635), formation of translation preinitiation complex  (pubmed id: 21873635)	polysome  (pubmed id: 21873635)	ribosomal small subunit binding  (pubmed id: 21873635), RNA strand annealing activity  (pubmed id: 21873635), RNA strand-exchange activity  (pubmed id: 21873635), translation initiation factor activity  (pubmed id: 21873635)	1102	673	542	both	542
Eif3d	Translation	initiation of translation	translational regulation	formation of cytoplasmic translation initiation complex  (pubmed id: 17581632), translational initiation  (pubmed id: 21873635)	eIF3m  (pubmed id: 24003236), eukaryotic translation initiation factor 3 complex  (pubmed id: 21873635; 17581632)	translation initiation factor activity  (pubmed id: 21873635; 17581632)	1021	484	546	both	546
Lsm8	Splicing	U6 snRNA-binding protein	splicing	RNA metabolic process  (pubmed id: 21873635)	U4/U6 x U5 tri-snRNP complex  (pubmed id: 21873635), U6 snRNP  (pubmed id: 21873635)	NA	336	658	549	both	549
Ddx5	RNA-binding, enzyme	chaperone, ATP-dependent	enzyme, splicing	circadian rhythm  (pubmed id: 22767893), DNA-templated  (pubmed id: 15464984), myoblast differentiation  (pubmed id: 24910439), pri-miRNA transcription by RNA polymerase II  (pubmed id: 24910439), protein import into nucleus  (pubmed id: 22665494), regulation of osteoblast differentiation  (pubmed id: 17960593), regulation of skeletal muscle cell differentiation  (pubmed id: 17011493), via spliceosome  (pubmed id: 24910439; 23022728)	nucleus  (pubmed id: 15464984), ribonucleoprotein complex  (pubmed id: 18809582)	promoter-specific chromatin binding  (pubmed id: 24910439), protein binding  (pubmed id: 11279182), RNA binding  (pubmed id: 22665494), transcription coregulator activity  (pubmed id: 15464984)	359	752	573	both	573
Igf2bp3	mRNA pathway	mRNA binding	mRNA transport, mRNA stability, translational regulation	NA	NA	protein binding  (pubmed id: 8871564)	484	644	588	both	588
Snrpd3	Splicing	splicing	splicing	protein methylation  (pubmed id: 18495660), spliceosomal snRNP assembly  (pubmed id: 21873635)	catalytic step 2 spliceosome  (pubmed id: 21873635), commitment complex  (pubmed id: 21873635), cytoplasm  (pubmed id: 15369763), nucleus  (pubmed id: 15369763), pICln-Sm protein complex  (pubmed id: 21873635), SMN-Sm protein complex  (pubmed id: 21873635), U1 snRNP  (pubmed id: 21873635), U12-type spliceosomal complex  (pubmed id: 21873635), U2 snRNP  (pubmed id: 21873635), U4 snRNP  (pubmed id: 21873635), U5 snRNP  (pubmed id: 21873635)	histone pre-mRNA DCP binding  (pubmed id: 19470752), RNA binding  (pubmed id: 21873635)	415	524	593	both	593
Impdh2	Enzyme, putative RNA-binding	enzyme inosine monophospate dehydrogenase	putative RBP	cellular response to interleukin-4  (pubmed id: 9798653), GTP biosynthetic process  (pubmed id: 21873635), lymphocyte proliferation  (pubmed id: 12944494), purine nucleotide biosynthetic process  (pubmed id: 12944494)	cytoplasm  (pubmed id: 21873635)	IMP dehydrogenase activity  (pubmed id: 21873635; 12944494)	494	582	594	both	594
U2af2	Splicing	splicing	splicing	RNA splicing  (pubmed id: 9784496)	commitment complex  (pubmed id: 21873635), nuclear speck  (pubmed id: 21873635; 21984414; 9784496), U2-type prespliceosome  (pubmed id: 21873635), U2AF  (pubmed id: 21873635)	C2H2 zinc finger domain binding  (pubmed id: 9784496), poly-pyrimidine tract binding  (pubmed id: 21873635), pre-mRNA 3'-splice site binding  (pubmed id: 21873635), protein binding  (pubmed id: 16819553)	302	733	609	both	609
Aimp1	tRNA pathway	tRNA binding, cytokine induced by apoptosis	tRNA pathway	leukocyte migration  (pubmed id: 11306575), positive regulation of glucagon secretion  (pubmed id: 17001013), tRNA aminoacylation for protein translation  (pubmed id: 21873635)	aminoacyl-tRNA synthetase multienzyme complex  (pubmed id: 21873635; 12060739), extracellular space  (pubmed id: 17001013)	cytokine activity  (pubmed id: 11306575), tRNA binding  (pubmed id: 21873635)	849	513	612	both	612
Elavl1	mRNA pathway	3'-UTR mRNA stabilization	mRNA stability, translational regulation	3'-UTR-mediated mRNA stabilization  (pubmed id: 27616329), mRNA stabilization  (pubmed id: 14976220; 21613615), positive regulation of translation  (pubmed id: 21613615; 21613615; 21613615), regulation of stem cell population maintenance  (pubmed id: 24394384), regulation of translation  (pubmed id: 23056314)	cytoplasm  (pubmed id: 17288565), cytoplasmic stress granule  (pubmed id: 27430620), glutamatergic synapse  (pubmed id: 26554012), nucleus  (pubmed id: 16168373), postsynapse  (pubmed id: 26554012), ribonucleoprotein complex  (pubmed id: 17971298)	double-stranded RNA binding  (pubmed id: 21266579), mRNA 3'-UTR AU-rich region binding  (pubmed id: 17288565; 23056314), mRNA 3'-UTR binding  (pubmed id: 24394384), mRNA binding  (pubmed id: 17288565), protein binding  (pubmed id: 17475777), RNA binding  (pubmed id: 21613615)	433	563	633	both	633
Yars	tRNA pathway, enzyme	tyrosyl tRNA synthetase	tRNA pathway	tRNA aminoacylation for protein translation  (pubmed id: 21873635)	aminoacyl-tRNA synthetase multienzyme complex  (pubmed id: 21873635)	tRNA binding  (pubmed id: 21873635), tyrosine-tRNA ligase activity  (pubmed id: 21873635)	1663	787	655	both	655
Matr3	mRNA pathway	mRNA stabilization	mRNA stability	blastocyst formation  (pubmed id: 27869233), heart valve development  (pubmed id: 25574029), ventricular septum development  (pubmed id: 25574029)	nucleus  (pubmed id: 25574029)	NA	315	1000	657	both	657
Hnrnpa0	mRNA pathway	3'-UTR mRNA stabilization	mRNA stability	3'-UTR-mediated mRNA stabilization  (pubmed id: 21873635; 12456657), inflammatory response  (pubmed id: 12456657), response to lipopolysaccharide  (pubmed id: 12456657)	nucleus  (pubmed id: 21873635), ribonucleoprotein complex  (pubmed id: 21873635)	AU-rich element binding  (pubmed id: 21873635), mRNA 3'-UTR AU-rich region binding  (pubmed id: 12456657), mRNA binding  (pubmed id: 21873635), RNA binding  (pubmed id: 21873635)	319	881	664	both	664
Ybx3	mRNA pathway	3'-UTR mRNA stabilization, stress response	mRNA stability, Stress response	fertilization  (pubmed id: 16954378), in utero embryonic development  (pubmed id: 16954378), male gonad development  (pubmed id: 16954378), negative regulation of apoptotic process  (pubmed id: 16954378), negative regulation of skeletal muscle tissue development  (pubmed id: 18676817), negative regulation of transcription by RNA polymerase II  (pubmed id: 17934523), positive regulation of organ growth  (pubmed id: 16954378), spermatogenesis  (pubmed id: 16954378)	cytoplasm  (pubmed id: 10772793), gap junction  (pubmed id: 16650609), nucleus  (pubmed id: 12433987)	DNA binding  (pubmed id: 12433987), mRNA 3'-UTR binding  (pubmed id: 10772793), polysome binding  (pubmed id: 12117816), protein binding  (pubmed id: 11591653), ribonucleoprotein complex binding  (pubmed id: 10772793), RNA polymerase II regulatory region sequence-specific DNA binding  (pubmed id: 17934523), RNA polymerase II-specific  (pubmed id: 17934523), single-stranded DNA binding  (pubmed id: 18676817)	444	545	668	both	668
Eif4g1	Translation	initiation of translation	translational regulation	behavioral fear response  (pubmed id: 24990923), positive regulation of neuron differentiation  (pubmed id: 25456498)	cytoplasm  (pubmed id: 12388085), eukaryotic translation initiation factor 4F complex  (pubmed id: 21873635)	mRNA binding  (pubmed id: 21873635), protein binding  (pubmed id: 16541103), translation initiation factor activity  (pubmed id: 21873635)	1249	720	674	both	674
Cryz	mRNA pathway	mRNA binding (AU-rich)	mRNA stability	NA	cytosol  (pubmed id: 21873635)	mRNA 3'-UTR binding  (pubmed id: 21873635), NADP binding  (pubmed id: 9154917), NADPH binding  (pubmed id: 21873635), NADPH:quinone reductase activity  (pubmed id: 21873635; 9154917)	700	887	692	both	692
Cirbp	mRNA pathway, stress inducible	3'-UTR mRNA stabilization, cold inducible	mRNA stability, Stress response	cellular response to cold  (pubmed id: 9151692), negative regulation of cell growth  (pubmed id: 9151692), positive regulation of translation  (pubmed id: 21873635), regulation of cell cycle G1/S phase transition  (pubmed id: 9151692), response to cold  (pubmed id: 21873635), stress granule assembly  (pubmed id: 17967451), via spliceosome  (pubmed id: 21873635)	cytoplasm  (pubmed id: 21873635; 17967451), cytoplasmic stress granule  (pubmed id: 17967451), nucleoplasm  (pubmed id: 9151692), nucleus  (pubmed id: 21873635; 17967451), ribonucleoprotein complex  (pubmed id: 21873635), spliceosomal complex  (pubmed id: 21873635)	mRNA 3'-UTR binding  (pubmed id: 21873635), poly(U) RNA binding  (pubmed id: 21873635; 9151692), RNA binding  (pubmed id: 21873635; 9151692), small ribosomal subunit rRNA binding  (pubmed id: 21873635), translation repressor activity  (pubmed id: 21873635; 17967451)	461	1410	707	both	707
Pabpn1	mRNA pathway	poly(A) binding, nuclear	mRNA degradation, mRNA transport	cellular response to lipopolysaccharide  (pubmed id: 22844456), MAPK cascade  (pubmed id: 22844456), mRNA polyadenylation  (pubmed id: 10862355), positive regulation of polynucleotide adenylyltransferase activity  (pubmed id: 22844456)	nucleus  (pubmed id: 22844456), ribonucleoprotein complex  (pubmed id: 22844456)	poly(A) binding  (pubmed id: 10862355), protein binding  (pubmed id: 22844456), protein self-association  (pubmed id: 18495660), RNA polymerase binding  (pubmed id: 22844456)	450	1016	708	both	708
Nhp2	rRNA pathway	rRNA processing, H/ACA snoRNPs	rRNA pathway, ncRNA pathway	cleavage involved in rRNA processing  (pubmed id: 21873635), maturation of LSU-rRNA  (pubmed id: 21873635), rRNA pseudouridine synthesis  (pubmed id: 21873635), snRNA pseudouridine synthesis  (pubmed id: 21873635)	box H/ACA snoRNP complex  (pubmed id: 21873635)	box H/ACA snoRNA binding  (pubmed id: 21873635), protein binding  (pubmed id: 23685356), RNA binding  (pubmed id: 21873635)	763	1231	719	both	719
Aars	tRNA pathway, enzyme	tRNA synthetase	tRNA pathway, translational regulation	alanyl-tRNA aminoacylation  (pubmed id: 21873635; 27622773; 16906134), cerebellar Purkinje cell layer development  (pubmed id: 16906134), negative regulation of neuron apoptotic process  (pubmed id: 16906134), neuromuscular process  (pubmed id: 16906134), neuromuscular process controlling balance  (pubmed id: 16906134), regulation of cytoplasmic translational fidelity  (pubmed id: 25422440), tRNA modification  (pubmed id: 21873635; 25422440; 16906134)	mitochondrion  (pubmed id: 21873635)	alanine-tRNA ligase activity  (pubmed id: 21873635; 27622773), amino acid binding  (pubmed id: 21873635), aminoacyl-tRNA editing activity  (pubmed id: 21873635; 20010690), ATP binding  (pubmed id: 21873635), protein binding  (pubmed id: 23055941), Ser-tRNA(Ala) hydrolase activity  (pubmed id: 25422440; 16906134), translation regulator activity  (pubmed id: 25422440), tRNA binding  (pubmed id: 21873635)	1053	727	721	both	721
Msi1	RNA-binding	RNA-binding protein (Mol Cell 2012), tissue-restricted	translational regulation	NA	cytoplasm  (pubmed id: 21873635; 11588182), nucleus  (pubmed id: 21873635; 15076722), polysome  (pubmed id: 21873635; 11588182), ribonucleoprotein complex  (pubmed id: 21873635)	identical protein binding  (pubmed id: 26197342), poly(U) RNA binding  (pubmed id: 11588182), RNA binding  (pubmed id: 21873635), single-stranded RNA binding  (pubmed id: 11588182)	901	660	729	both	729
Igf2bp1	mRNA pathway	3'-UTR mRNA stabilization, tissue-restricted	mRNA stability	neuronal stem cell population maintenance  (pubmed id: 24192035), pallium cell proliferation in forebrain  (pubmed id: 24192035)	NA	NA	459	901	738	both	738
Hnrnpm	Splicing	splicing, oxidative stress	splicing, Stress response, mRNA stability	regulation of mRNA stability involved in response to oxidative stress  (pubmed id: 21873635), via spliceosome  (pubmed id: 21873635)	collagen-containing extracellular matrix  (pubmed id: 23658023), cytoplasm  (pubmed id: 21873635), nucleus  (pubmed id: 21873635), post-mRNA release spliceosomal complex  (pubmed id: 21873635), ribonucleoprotein complex  (pubmed id: 21873635)	mRNA binding  (pubmed id: 21873635)	588	824	741	both	741
Srp14	rRNA pathway	rRNA binding, ER and membrane targeting	rRNA pathway	protein targeting to ER  (pubmed id: 21873635)	endoplasmic reticulum targeting  (pubmed id: 21873635)	NA	616	597	742	both	742
Ssb	tRNA pathway	protection of Pol III transcripts	mRNA stability, IRES-mediated translation	NA	nucleus  (pubmed id: 11817591)	RNA binding  (pubmed id: 17971306)	517	911	748	both	748
Rpl5	Ribosomal protein	ribosomal protein	ribosomal protein	ribosomal large subunit assembly  (pubmed id: 21873635)	cytosolic large ribosomal subunit  (pubmed id: 21873635), ribonucleoprotein complex  (pubmed id: 18809582), synapse  (pubmed id: 16635246; 16635246)	5S rRNA binding  (pubmed id: 21873635), protein binding  (pubmed id: 16648475)	886	718	810	both	810
Khdrbs1	Splicing	splicing	splicing, mRNA transport	cell surface receptor signaling pathway  (pubmed id: 7799925), DNA-templated  (pubmed id: 12496368), regulation of RNA export from nucleus  (pubmed id: 12496368), via spliceosome  (pubmed id: 21873635; 22196734)	nucleus  (pubmed id: 21873635; 12496368)	poly(A) binding  (pubmed id: 21873635; 21984414), poly(U) RNA binding  (pubmed id: 21984414), protein binding  (pubmed id: 10077576), RNA binding  (pubmed id: 21873635; 9315629), SH3 domain binding  (pubmed id: 21873635), SH3/SH2 adaptor activity  (pubmed id: 21873635; 7799925)	669	1464	889	both	889
Alyref	mRNA pathway, chaperone	mRNA binding, export, molecular chaperone	mRNA transport, chaperone	NA	nucleus  (pubmed id: 10786854)	RNA binding  (pubmed id: 10786854), single-stranded DNA binding  (pubmed id: 10786854)	354	934	892	both	892
Nudt21	mRNA pathway	mRNA processing and polyadenylation	Pre-mRNA processing	mRNA processing  (pubmed id: 21873635), positive regulation of pro-B cell differentiation  (pubmed id: 29249356), positive regulation of stem cell differentiation  (pubmed id: 29249356), posttranscriptional regulation of gene expression  (pubmed id: 29249356)	mRNA cleavage factor complex  (pubmed id: 21873635), nucleus  (pubmed id: 18032416)	AU-rich element binding  (pubmed id: 21873635), chromatin binding  (pubmed id: 18032416), mRNA binding  (pubmed id: 21873635), protein binding  (pubmed id: 11716503)	982	1627	900	both	900
Snrpe	Splicing	splicing	splicing	spliceosomal snRNP assembly  (pubmed id: 21873635)	U1 snRNP  (pubmed id: 21873635), U2 snRNP  (pubmed id: 21873635), U4 snRNP  (pubmed id: 21873635), U4/U6 x U5 tri-snRNP complex  (pubmed id: 21873635), U5 snRNP  (pubmed id: 21873635)	NA	645	864	903	both	903
Magohb	Splicing	splicing	splicing	RNA splicing  (pubmed id: 21873635)	catalytic step 2 spliceosome  (pubmed id: 21873635), exon-exon junction complex  (pubmed id: 21873635)	NA	436	1215	909	both	909
Ddx1	splicing, enzyme	splicing, ATP helicase	splicing, enzyme	positive regulation of I-kappaB kinase/NF-kappaB signaling  (pubmed id: 21703541), positive regulation of myeloid dendritic cell cytokine production  (pubmed id: 21703541), response to exogenous dsRNA  (pubmed id: 21703541), response to virus  (pubmed id: 21703541)	cytoplasmic stress granule  (pubmed id: 21933836), cytosol  (pubmed id: 21703541), mitochondrion  (pubmed id: 21703541), ribonucleoprotein complex  (pubmed id: 18809582)	double-stranded RNA binding  (pubmed id: 21703541), protein binding  (pubmed id: 18758164)	652	921	914	both	914
Khsrp	mRNA pathway, splicing	splicing and mRNA binding	splicing, mRNA degradation	mRNA catabolic process  (pubmed id: 22844247), regulation of miRNA metabolic process  (pubmed id: 22844247)	cytoplasmic stress granule  (pubmed id: 21933836)	mRNA binding  (pubmed id: 22844247)	803	1526	916	both	916
Puf60	Splicing	splicing	splicing	NA	NA	NA	820	955	934	both	934
Xpo1	snRNA pathway	nuclear export of snRNAs	ncRNA pathway	protein export from nucleus  (pubmed id: 11796723; 11092755), protein localization to nucleus  (pubmed id: 16297385), regulation of centrosome duplication  (pubmed id: 16297385), regulation of protein catabolic process  (pubmed id: 15767664), regulation of protein export from nucleus  (pubmed id: 21873635; 14981260), ribosomal large subunit export from nucleus  (pubmed id: 21873635), ribosomal small subunit export from nucleus  (pubmed id: 21873635)	cytoplasm  (pubmed id: 21873635), nucleus  (pubmed id: 21873635; 16297385), ribonucleoprotein complex  (pubmed id: 18809582)	nuclear export signal receptor activity  (pubmed id: 21873635; 12446771), protein binding  (pubmed id: 10438867)	612	1247	936	both	936
Safb	RNA-binding	RNA-binding (Cell 2012), binds many HNRNP proteins	ncRNA pathway, Stress response	hormone metabolic process  (pubmed id: 15798188), intracellular estrogen receptor signaling pathway  (pubmed id: 21873635; 15798188), positive regulation of transcription by RNA polymerase II  (pubmed id: 19403048), regulation of growth  (pubmed id: 15798188), regulation of mRNA processing  (pubmed id: 21873635), regulation of transcription by RNA polymerase II  (pubmed id: 21873635)	nucleus  (pubmed id: 21873635)	chromatin binding  (pubmed id: 19403048), protein binding  (pubmed id: 17931718), RNA polymerase II proximal promoter sequence-specific DNA binding  (pubmed id: 19403048), sequence-specific DNA binding  (pubmed id: 21873635)	486	1334	952	both	952
Igf2bp2	mRNA pathway	5'-UTR mRNA binding, binds ELAVs	mRNA transport, mRNA stability, translational regulation	NA	NA	NA	986	1042	1000	both	1000
Rbm8a	mRNA pathway	nuclear mRNA binding and export	NMD, mRNA transport, splicing	nonsense-mediated decay  (pubmed id: 21873635), via spliceosome  (pubmed id: 21873635)	exon-exon junction complex  (pubmed id: 21873635), nucleus  (pubmed id: 11030346)	mRNA binding  (pubmed id: 21873635; 11030346)	549	765	1023	both	1023
Hnrnpc	mRNA pathway	Pre-mRNA processing and transport	Pre-mRNA processing, Pre-mRNA transport	NA	nucleus  (pubmed id: 21873635; 9128719), pronucleus  (pubmed id: 7768196)	mRNA binding  (pubmed id: 9128719), RNA binding  (pubmed id: 21873635)	353	687	1041	both	1041
Nsun2	tRNA pathway, enzyme	tRNA methyltransferase	tRNA pathway	hair follicle maturation  (pubmed id: 25340873), meiotic cell cycle checkpoint  (pubmed id: 23401851), spermatid development  (pubmed id: 23401851), tRNA methylation  (pubmed id: 21873635)	chromatoid body  (pubmed id: 23401851), cytoplasm  (pubmed id: 21873635), nucleus  (pubmed id: 21873635)	methyltransferase activity  (pubmed id: 21873635), tRNA (cytosine-5-)-methyltransferase activity  (pubmed id: 21873635), tRNA binding  (pubmed id: 21873635)	1317	906	1046	both	1046
Rnps1	mRNA pathway, non-sense RNA mediated decay	mRNA nuclear export and surveillance- nonsense mediated decay	mRNA transport, NMD, splicing	RNA splicing  (pubmed id: 21873635), via spliceosome  (pubmed id: 21873635; 21873635)	ASAP complex  (pubmed id: 21873635), cytoplasm  (pubmed id: 21873635), nucleoplasm  (pubmed id: 21873635)	NA	970	1354	1055	both	1055
Hdlbp	RNA-binding	RNA-binding (Cell 2012)	mRNA transport, mRNA stability, translational regulation	NA	NA	NA	835	1089	1070	both	1070
